Match ID,Player Name,Card Time,Card Type,Card Reason,Period
303615,Víctor Sánchez Mata,45:18,Yellow Card,Bad Behaviour,1
303615,Raúl de Tomás Gómez,44:56,Yellow Card,Foul Committed,1
303615,Pol Lozano Vizuete,51:34,Red Card,Foul Committed,2
303615,Anssumane Fati,48:23,Red Card,Foul Committed,2
303634,Gerard Piqué Bernabéu,68:26,Yellow Card,Bad Behaviour,2
303634,Ivan Rakitić,56:07,Yellow Card,Foul Committed,2
303634,Nélson Cabral Semedo,53:15,Yellow Card,Foul Committed,2
303634,Héctor Junior Firpo Adames,74:07,Yellow Card,Bad Behaviour,2
303634,Enric Gallego Puigsech,74:42,Red Card,Foul Committed,2
303634,Pervis Josué Estupiñán Tenorio,63:43,Yellow Card,Bad Behaviour,2
303652,Javier López Rodríguez,34:56,Yellow Card,Foul Committed,1
303652,Marc Roca Junqué,61:25,Yellow Card,Foul Committed,2
303652,Frenkie de Jong,65:04,Yellow Card,Foul Committed,2
303652,Frenkie de Jong,74:11,Second Yellow,Foul Committed,2
303664,Luis Alberto Suárez Díaz,73:07,Yellow Card,Bad Behaviour,2
303666,Gerard Piqué Bernabéu,48:39,Yellow Card,Bad Behaviour,1
303666,Luis Alberto Suárez Díaz,20:35,Yellow Card,Foul Committed,1
303666,Carlos Fernández Luna,86:33,Yellow Card,Foul Committed,2
303666,Yangel Clemente Herrera Ravelo,48:49,Yellow Card,Foul Committed,2
303666,Roberto Soldado Rillo,47:33,Yellow Card,Foul Committed,2
303674,Éver Maximiliano David Banega,61:49,Yellow Card,Foul Committed,2
303674,Fernando Francisco Reges,48:27,Yellow Card,Bad Behaviour,1
303674,Sergio Reguilón Rodríguez,25:51,Yellow Card,Foul Committed,1
303674,Sergio Busquets i Burgos,48:05,Yellow Card,Bad Behaviour,1
303674,Gerard Piqué Bernabéu,38:25,Yellow Card,Foul Committed,1
303680,Rubén Alcaraz Jiménez,44:53,Yellow Card,Foul Committed,1
303680,Enrique Pérez Muñoz,64:02,Yellow Card,Foul Committed,2
303680,Jordi Alba Ramos,77:29,Yellow Card,Bad Behaviour,2
303680,Clément Lenglet,39:39,Yellow Card,Foul Committed,1
303682,Jordi Alba Ramos,64:27,Yellow Card,Bad Behaviour,2
303682,Gerard Piqué Bernabéu,64:02,Yellow Card,Foul Committed,2
303696,Thomas Lemar,93:05,Yellow Card,Foul Committed,2
303696,Diego da Silva Costa,74:30,Yellow Card,Foul Committed,2
303696,Yannick Ferreira Carrasco,78:59,Yellow Card,Foul Committed,2
303696,Saúl Ñíguez Esclapez,34:54,Yellow Card,Foul Committed,1
303696,Felipe Augusto de Almeida Monteiro,50:35,Yellow Card,Foul Committed,2
303696,Gerard Piqué Bernabéu,17:39,Yellow Card,Bad Behaviour,1
303696,Lionel Andrés Messi Cuccittini,60:02,Yellow Card,Bad Behaviour,2
303696,Marc-André ter Stegen,16:14,Yellow Card,Bad Behaviour,1
303700,Takashi Inui,87:10,Yellow Card,Foul Committed,2
303700,Charles Días Barbosa de Oliveira,23:20,Yellow Card,Bad Behaviour,1
303700,Papa Kouly Diop,23:09,Yellow Card,Foul Committed,1
303700,Eduardo Expósito Jaén,89:06,Yellow Card,Foul Committed,2
303700,Sergio Álvarez Díaz,81:28,Yellow Card,Foul Committed,2
303707,Nabil Fekir,75:23,Yellow Card,Foul Committed,2
303707,Nabil Fekir,75:32,Second Yellow,Bad Behaviour,2
303707,Aïssa Mandi,46:21,Yellow Card,Foul Committed,1
303707,Emerson Aparecido Leite de Souza Junior,35:39,Yellow Card,Foul Committed,1
303707,Guido Rodríguez,72:00,Yellow Card,Bad Behaviour,2
303707,Sergio Busquets i Burgos,56:05,Yellow Card,Bad Behaviour,2
303707,Sergi Roberto Carnicer,28:10,Yellow Card,Foul Committed,1
303707,Clément Lenglet,03:25,Yellow Card,Foul Committed,1
303707,Clément Lenglet,78:22,Second Yellow,Foul Committed,2
303707,Arturo Erasmo Vidal Pardo,31:41,Yellow Card,Foul Committed,1
303715,Roque Mesa Quevedo,19:37,Yellow Card,Foul Committed,1
303715,Sergio Busquets i Burgos,31:40,Yellow Card,Foul Committed,1
303715,Arturo Erasmo Vidal Pardo,89:10,Yellow Card,Foul Committed,2
303725,Pau Francisco Torres,16:42,Yellow Card,Foul Committed,1
303731,Gonzalo Escalante,63:27,Yellow Card,Bad Behaviour,2
303731,Papa Kouly Diop,83:57,Yellow Card,Foul Committed,2
3749052,Ioan Viorel Ganea,25:18,Yellow Card,Bad Behaviour,1
3749052,Denis Irwin,66:45,Yellow Card,Foul Committed,2
3749052,Mark Kennedy,10:16,Yellow Card,Foul Committed,1
3749052,Dennis Bergkamp,30:35,Yellow Card,Foul Committed,1
3749068,Robbie Keane,92:32,Yellow Card,Bad Behaviour,2
3749068,Jamie Redknapp,58:02,Yellow Card,Foul Committed,2
3749068,Jens Lehmann,90:44,Yellow Card,Foul Committed,2
3749079,Claude Makélélé,10:35,Yellow Card,Foul Committed,1
3749079,Jerrel Hasselbaink,82:15,Yellow Card,Foul Committed,2
3749079,Ray Parlour,06:22,Yellow Card,Foul Committed,1
3749108,Peter Whittingham,69:59,Yellow Card,Foul Committed,2
3749108,Mark Anthony Delaney,17:20,Yellow Card,Foul Committed,1
3749108,Juan Pablo Ángel Arango,36:28,Yellow Card,Foul Committed,1
3749108,Lee Hendrie,15:30,Yellow Card,Foul Committed,1
3749108,Dennis Bergkamp,79:46,Yellow Card,Foul Committed,2
3749108,Patrick Vieira,67:22,Yellow Card,Foul Committed,2
3749108,Kolo Habib Touré,38:55,Yellow Card,Foul Committed,1
3749117,Fredrik Ljungberg,53:49,Yellow Card,Foul Committed,2
3749117,Ray Parlour,21:49,Yellow Card,Foul Committed,1
3749117,Laureano Bisan-Etame Mayer,43:56,Yellow Card,Foul Committed,1
3749133,Gareth Barry,57:37,Yellow Card,Foul Committed,2
3749133,Peter Whittingham,44:51,Yellow Card,Foul Committed,1
3749133,Olof Mellberg,33:29,Yellow Card,Foul Committed,1
3749133,Mark Anthony Delaney,28:24,Yellow Card,Bad Behaviour,1
3749133,Patrick Vieira,54:39,Yellow Card,Foul Committed,2
3749153,Dorival Guidoni Júnior,29:04,Yellow Card,Foul Committed,1
3749153,Gilberto Aparecido da Silva,19:09,Yellow Card,Foul Committed,1
3749192,Eduardo César Daude Gaspar,88:52,Yellow Card,Foul Committed,2
3749192,Sylvain Legwinski,56:43,Yellow Card,Foul Committed,2
3749196,Darren Anderton,18:45,Yellow Card,Foul Committed,1
3749196,Paul Konchesky,13:13,Yellow Card,Foul Committed,1
3749196,Mauricio Taricco,48:44,Yellow Card,Foul Committed,2
3749196,Dean Richards,24:26,Yellow Card,Foul Committed,1
3749196,Ray Parlour,09:17,Yellow Card,Foul Committed,1
3749233,Ashley Cole,89:14,Yellow Card,Bad Behaviour,2
3749233,Ray Parlour,62:13,Yellow Card,Foul Committed,2
3749233,Eduardo César Daude Gaspar,89:14,Yellow Card,Bad Behaviour,2
3749233,Nicolas Anelka,89:21,Red Card,Bad Behaviour,2
3749233,Joey Barton,59:05,Yellow Card,Foul Committed,2
3749233,Trevor Sinclair,83:26,Yellow Card,Bad Behaviour,2
3749246,Paul Scholes,24:38,Yellow Card,Foul Committed,1
3749246,Gaël Clichy,73:14,Yellow Card,Foul Committed,2
3749253,John Welsh,84:31,Yellow Card,Foul Committed,2
3749253,Igor Bišćan,59:50,Yellow Card,Foul Committed,2
3749253,Ashley Cole,32:33,Yellow Card,Foul Committed,1
3749253,Ray Parlour,35:57,Yellow Card,Foul Committed,1
3749257,Frank Mohammed Sinclair,45:59,Yellow Card,Foul Committed,2
3749274,Sulzeer Jeremiah ''Sol' Campbell,41:23,Yellow Card,Foul Committed,1
3749274,Ray Parlour,79:08,Yellow Card,Foul Committed,2
3749276,Eiður Smári Guðjohnsen,41:31,Yellow Card,Foul Committed,1
3749276,Eiður Smári Guðjohnsen,59:27,Second Yellow,Foul Committed,2
3749276,Adrian Mutu,50:02,Yellow Card,Foul Committed,2
3749276,John Terry,66:06,Yellow Card,Foul Committed,2
3749276,Frank Lampard,78:37,Yellow Card,Foul Committed,2
