Player ID,Player Name,Position ID,Jersey Number,Team Name,Country Name
6762,Álvaro González Soberón,,3,Villarreal,Spain
6764,Pablo Fornals Malla,,8,Villarreal,Spain
6766,Gerard Moreno Balaguero,,7,Villarreal,Spain
6771,Manuel Trigueros Muñoz,,14,Villarreal,Spain
6772,Mario Gaspar Pérez Martínez,,2,Villarreal,Spain
6828,Jaume Vicent Costa Jordá,,11,Villarreal,Spain
8697,Andrés Eduardo Fernández Moreno,,13,Villarreal,Spain
11384,Manuel Morlanes Ariño,,28,Villarreal,Spain
11385,Santiago Cáseres,,5,Villarreal,Argentina
11386,Santiago Cazorla González,,19,Villarreal,Spain
16335,Samuel Chimerenka Chukwueze,,30,Villarreal,Nigeria
3236,Sergi Darder Moll,,10,Espanyol,Spain
5598,Óscar Esau Duarte Gaitán,,6,Espanyol,Costa Rica
6569,Roberto José Rosales Altuve,,8,Espanyol,Venezuela (Bolivarian Republic)
6571,Roberto Jiménez Gago,,1,Espanyol,Spain
6754,David López Silva,,15,Espanyol,Spain
6758,Víctor Sánchez Mata,,4,Espanyol,Spain
6761,Leonardo Carrilho Baptistão,,11,Espanyol,Brazil
6763,Pablo Daniel Piatti,,19,Espanyol,Argentina
6767,Sergio García De La Fuente,,9,Espanyol,Spain
6768,Diego López Rodríguez,,13,Espanyol,Spain
6769,Edinaldo Gomes Pereira,,5,Espanyol,Brazil
6770,Esteban Félix Granero Molina,,23,Espanyol,Spain
6791,Javier López Rodríguez,,16,Espanyol,Spain
6838,Hernán Arsenio Pérez González,,17,Espanyol,Paraguay
6866,Marc Roca Junqué,,21,Espanyol,Spain
6886,Dídac Vilá Rosselló,,12,Espanyol,Spain
6902,Óscar Melendo Jiménez,,14,Espanyol,Spain
11391,Borja Iglesias Quintas,,7,Espanyol,Spain
4407,Sanjin Prcić,,8,Levante UD,Bosnia and Herzegovina
6668,José Luis Morales Nogales,,11,Levante UD,Spain
6672,Jorge Andújar Moreno,,12,Levante UD,Spain
6678,Emmanuel Okyere Boateng,,21,Levante UD,Ghana
6680,Rubén Rochina Naixes,,16,Levante UD,Spain
6681,José Manuel Rodríguez Benito,,6,Levante UD,Spain
6682,Sergio Postigo Redondo,,15,Levante UD,Spain
6684,Roger Martí Salvador,,9,Levante UD,Spain
6688,José Ángel Gómez Campaña,,24,Levante UD,Spain
6691,David Remeseiro Salgueiro,,23,Levante UD,Spain
6692,Oier Olazábal Paredes,,13,Levante UD,Spain
6782,Enis Bardhi,,10,Levante UD,"Macedonia, Republic of"
6784,Antonio García Aranda,,3,Levante UD,Spain
