Event ID,Player Name,Team Name,Statsbomb Xg,End Location X,End Location Y,End Location Z,Follows Dribble,First Time,Open Goal,Deflected,Technique ID,Technique Name,Body Part ID,Body Part Name,Type ID,Type Name,Outcome ID,Outcome Name,Match ID,Season Name,Competition Name
6fa18919-7d00-476e-8880-99e8e6067d6e,Philippe Coutinho Correia,Barcelona,0.05184672,119.2,42.8,0.2,False,True,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15956,2018/2019,La Liga
d0302a69-9414-47c7-94b9-b3a10700f671,Luis Alberto Suárez Díaz,Barcelona,0.069061086,108.0,48.2,,False,True,False,False,91,Half Volley,40,Right Foot,87,Open Play,96,Blocked,15956,2018/2019,La Liga
41792ce3-ecfe-48e9-a639-40e390bb3443,Lionel Andrés Messi Cuccittini,Barcelona,0.06438187,120.0,36.6,4.2,False,False,False,False,93,Normal,38,Left Foot,62,Free Kick,98,Off T,15956,2018/2019,La Liga
920baa1b-2d87-4364-9066-500737095b6c,Enes Ünal,Real Valladolid,0.01063624,120.0,47.9,0.5,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15956,2018/2019,La Liga
16a8465f-787f-46fb-8dcc-83c20d74de8e,Ousmane Dembélé,Barcelona,0.01864248,118.7,36.0,0.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15956,2018/2019,La Liga
416e1326-31ef-4cff-a219-112321d2aab8,Ousmane Dembélé,Barcelona,0.09232311,120.0,37.0,0.4,False,True,False,False,91,Half Volley,40,Right Foot,87,Open Play,97,Goal,15956,2018/2019,La Liga
2913eedb-a2b8-445f-8782-b6456f2ed83e,Óscar Plano Pedreño,Real Valladolid,0.025792476,120.0,48.8,4.2,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15956,2018/2019,La Liga
bc290ae5-3902-46e9-ad1e-b18fc9461dbb,Sergio Gontán Gallardo,Real Valladolid,0.19717629,118.3,40.2,0.9,False,False,False,False,93,Normal,37,Head,87,Open Play,100,Saved,15956,2018/2019,La Liga
0687551b-03f9-40f8-8d3a-1ac2ec6a11cd,Francisco José Olivas Alba,Real Valladolid,0.046542387,119.4,38.4,1.7,False,False,False,False,93,Normal,37,Head,87,Open Play,100,Saved,15956,2018/2019,La Liga
302a69e2-581e-4a02-aa38-32f8a08bc0d0,Gerard Piqué Bernabéu,Barcelona,0.07352478,112.4,39.2,,False,False,False,False,93,Normal,37,Head,87,Open Play,96,Blocked,15956,2018/2019,La Liga
292c745a-fc3d-4dca-9e81-ed54a7bb2ad4,Malcom Filipe Silva de Oliveira,Barcelona,0.1406415,115.6,37.2,0.2,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,100,Saved,15956,2018/2019,La Liga
f178379c-e61b-4501-a246-084051fee123,Rubén Alcaraz Jiménez,Real Valladolid,0.021421283,120.0,30.2,3.1,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,98,Off T,15956,2018/2019,La Liga
a1ebef12-d658-4cb7-bcc7-93313c8b2158,Samuele Longo,Huesca,0.1526698,115.3,37.2,,False,False,False,False,93,Normal,37,Head,87,Open Play,96,Blocked,15973,2018/2019,La Liga
fe70ba6c-fece-406a-abb2-59de31cedc3a,Juan Camilo Hernández Suárez,Huesca,0.4612487,120.0,37.8,1.0,False,True,False,False,95,Volley,40,Right Foot,87,Open Play,97,Goal,15973,2018/2019,La Liga
ab358ae9-7fff-4821-9123-35902f670d3d,Lionel Andrés Messi Cuccittini,Barcelona,0.13622634,120.0,36.9,0.6,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,97,Goal,15973,2018/2019,La Liga
1b904ec4-d492-49c7-a44c-c1e88724eb21,Ousmane Dembélé,Barcelona,0.035666563,118.1,35.9,0.2,False,False,False,False,93,Normal,38,Left Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
61da1864-ad79-4f30-acdf-35571072e5bf,Ivan Rakitić,Barcelona,0.023244508,117.2,38.3,0.9,False,False,False,False,93,Normal,40,Right Foot,87,Open Play,100,Saved,15973,2018/2019,La Liga
