Match ID,Event ID,Formation,Lineup
16120,779da12c-1e5a-43dd-8b92-eba8ade8e2e6,442,"{6722,6627,6634,6635,6619,6901,6863,4546,6873,6611,11550}"
16120,02f517b5-d6cb-45b6-bb7a-08dd0ed36079,41221,"{20055,6379,5213,6826,5211,5470,8206,11392,5503,5477,5246}"
16120,c8fbeac5-1c00-4005-a8b0-c6668a919c64,4222,"{6722,6627,6634,6635,6619,6901,6863,6873,11550,6630,6611}"
16120,0e973742-2c62-4e61-b7cb-6cb33bdefef0,41221,"{20055,6379,5213,6826,5211,5203,5470,11392,5503,5477,5246}"
16120,56387d40-ec2a-4f07-b38c-4ba4f8a482e8,4222,"{6722,6627,6634,6635,6619,6901,6863,6873,4712,11550,6630}"
16131,b634e2ba-8644-4ab4-abef-749ccc2ee47e,433,"{20055,6379,5213,6826,5211,5203,5470,11392,5503,3501,5246}"
16131,97fe20ec-4332-435f-b8b3-62d853d76910,4231,"{10763,6710,6709,7907,6705,6712,6867,7105,6701,17620,6700}"
16131,a092f074-eedb-4a41-9f6b-0b7f8c6127be,433,"{20055,6379,5213,6826,5211,5470,8206,11392,5503,3501,5246}"
16131,b07f48fa-2338-4def-b4a3-0a45ec334cbb,442,"{20055,6379,5213,6826,5211,8206,5470,5477,3501,5503,5246}"
16131,13b84daa-a740-4f34-a638-a0ebf7cbe235,4231,"{10763,6710,6709,7907,6705,6867,6701,7105,6711,8555,6700}"
16136,6510c179-d5cc-4557-a466-ed98311d9654,433,"{20055,6379,5213,6332,5211,5203,13599,11392,5477,3501,5246}"
16136,7014799b-feb4-4463-940d-093225d7d618,343,"{6610,17818,5830,6603,3991,11730,6580,6667,16212,6301,4447}"
16136,ebcc17f1-ea99-4d91-b85e-4ef912faf29d,352,"{6610,17818,5830,6603,3991,11730,6580,16212,6667,6301,4447}"
16136,8d1625df-7487-411c-a8f6-4afeb5e67ee6,4231,"{20055,6379,5213,6332,5211,5203,5470,5477,5503,3501,5246}"
