Match ID,Player Name,Position ID,Start From,End To,From Period,To Period,Start Reason,End Reason
15978,Mikel Oyarzabal Ugarte,12,00:00,,1,,Starting XI,Final Whistle
15978,Gerónimo Rulli,1,00:00,,1,,Starting XI,Final Whistle
15978,Juan Miguel Jiménez López,24,00:00,,1,,Starting XI,Final Whistle
15978,Theo Bernard François Hernández,6,00:00,,1,,Starting XI,Final Whistle
15978,Rubén Pardo Gutiérrez,22,00:00,72:26,1,2,Starting XI,Tactical Shift
15978,Rubén Pardo Gutiérrez,16,72:26,81:38,2,2,Tactical Shift,Substitution - Off (Tactical)
15978,Jon Bautista Orgilles,22,72:26,72:26,2,2,Tactical Shift,Substitution - On (Tactical)
15978,Jon Bautista Orgilles,16,72:26,,2,,Substitution - On (Tactical),Final Whistle
15978,Luca Sangalli Fuentes,16,81:38,,2,,Substitution - On (Tactical),Final Whistle
15978,Philippe Coutinho Correia,2,45:00,46:57,2,2,Substitution - On (Tactical),Tactical Shift
15978,Philippe Coutinho Correia,15,46:57,78:57,2,2,Tactical Shift,Tactical Shift
15978,Philippe Coutinho Correia,21,78:57,,2,,Tactical Shift,Final Whistle
15978,Sergio Busquets i Burgos,13,56:12,59:41,2,2,Substitution - On (Tactical),Tactical Shift
15978,Sergio Busquets i Burgos,10,59:41,,2,,Tactical Shift,Final Whistle
15978,Jordi Alba Ramos,6,00:00,,1,,Starting XI,Final Whistle
15978,Gerard Piqué Bernabéu,3,00:00,,1,,Starting XI,Final Whistle
15978,Luis Alberto Suárez Díaz,23,00:00,,1,,Starting XI,Final Whistle
15978,Ivan Rakitić,10,00:00,59:41,1,2,Starting XI,Tactical Shift
15978,Ivan Rakitić,13,59:41,,2,,Tactical Shift,Final Whistle
15978,Ousmane Dembélé,21,00:00,76:33,1,2,Starting XI,Substitution - Off (Tactical)
15978,Samuel Yves Umtiti,5,00:00,,1,,Starting XI,Final Whistle
15978,Lionel Andrés Messi Cuccittini,17,00:00,,1,,Starting XI,Final Whistle
15978,Nélson Cabral Semedo,2,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical)
15978,Sergi Roberto Carnicer,13,00:00,46:57,1,2,Starting XI,Tactical Shift
15978,Sergi Roberto Carnicer,2,46:57,,2,,Tactical Shift,Final Whistle
15978,Rafael Alcântara do Nascimento,15,00:00,46:57,1,2,Starting XI,Tactical Shift
15978,Rafael Alcântara do Nascimento,13,46:57,56:12,2,2,Tactical Shift,Substitution - Off (Tactical)
15978,Arturo Erasmo Vidal Pardo,21,76:33,78:57,2,2,Substitution - On (Tactical),Tactical Shift
15978,Arturo Erasmo Vidal Pardo,15,78:57,,2,,Tactical Shift,Final Whistle
15978,Marc-André ter Stegen,1,00:00,,1,,Starting XI,Final Whistle
15986,Philippe Coutinho Correia,15,57:51,,2,,Substitution - On (Tactical),Final Whistle
15986,Sergio Busquets i Burgos,10,00:00,36:01,1,1,Starting XI,Tactical Shift
15986,Sergio Busquets i Burgos,5,36:01,45:00,1,2,Tactical Shift,Tactical Shift
15986,Sergio Busquets i Burgos,10,45:00,,2,,Tactical Shift,Final Whistle
15986,Jordi Alba Ramos,6,00:00,,1,,Starting XI,Final Whistle
15986,Gerard Piqué Bernabéu,3,00:00,,1,,Starting XI,Final Whistle
15986,Luis Alberto Suárez Díaz,23,00:00,45:00,1,2,Starting XI,Tactical Shift
15986,Luis Alberto Suárez Díaz,24,45:00,,2,,Tactical Shift,Final Whistle
15986,Ivan Rakitić,13,57:57,,2,,Substitution - On (Tactical),Final Whistle
15986,Ousmane Dembélé,21,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical)
15986,Samuel Yves Umtiti,5,45:00,45:00,2,2,Tactical Shift,Substitution - On (Tactical)
15986,Samuel Yves Umtiti,21,45:00,,2,,Substitution - On (Tactical),Final Whistle
15986,Lionel Andrés Messi Cuccittini,17,00:00,45:00,1,2,Starting XI,Tactical Shift
15986,Lionel Andrés Messi Cuccittini,22,45:00,,2,,Tactical Shift,Final Whistle
15986,Nélson Cabral Semedo,2,00:00,,1,,Starting XI,Final Whistle
15986,Clément Lenglet,5,00:00,36:01,1,1,Starting XI,Tactical Shift
15986,Clément Lenglet,10,36:01,45:00,1,2,Tactical Shift,Tactical Shift
15986,Clément Lenglet,19,45:00,,2,,Tactical Shift,Final Whistle
15986,Arturo Erasmo Vidal Pardo,13,00:00,57:57,1,2,Starting XI,Substitution - Off (Tactical)
15986,Arthur Henrique Ramos de Oliveira Melo,15,00:00,57:51,1,2,Starting XI,Substitution - Off (Tactical)
15986,Marc-André ter Stegen,1,00:00,,1,,Starting XI,Final Whistle
15986,Cristhian Ricardo Stuani Curbelo,24,00:00,,1,,Starting XI,Final Whistle
15986,Marc Muniesa Martínez,8,00:00,,1,,Starting XI,Final Whistle
15986,Pere Pons Riera,10,00:00,73:08,1,2,Starting XI,Tactical Shift
15986,Pere Pons Riera,13,73:08,,2,,Tactical Shift,Final Whistle
15986,Borja García Freire,15,45:00,,2,,Substitution - On (Tactical),Final Whistle
15986,Alejandro Granell Nogué,13,00:00,71:08,1,2,Starting XI,Substitution - Off (Tactical)
15986,Juan Pedro Ramírez López,5,00:00,,1,,Starting XI,Final Whistle
15986,Bernardo José Espinosa Zúñiga,4,00:00,,1,,Starting XI,Final Whistle
